Orden,Nombre,Anime,Categoria,Imagen Actual,Sugerir Imagen,Estado
40,"Roronoa Zoro","ONE PIECE",ESPADA,"images/Roronoa_Zoro.png","images/Roronoa_Zoro.png",Existe
41,"Dracule Mihawk","OnE PIECE",ESPADA,"images/Dracule_Mihawk.png","images/Dracule_Mihawk.png",Existe
42,"Shanks","ONE PIECE",ESPADA,"images/Shanks.png","images/Shanks.png",Existe
43,"Trafalgar Law","ONE PIECE",ESPADA,"images/Trafalgar_Law.png","images/Trafalgar_Law.png",Existe
44,"Ichigo","BLEACH",ESPADA,"images/Ichigo_Kurosaki.png","images/Ichigo.png",Falta
45,"Byakuya Kuchiki","BLEACH",ESPADA,"images/Byakuya_Kuchiki.png","images/Byakuya_Kuchiki.png",Existe
46,"Kenpachi Zaraki","BLEACH",ESPADA,"images/Kenpachi_Zaraki.png","images/Kenpachi_Zaraki.png",Existe
47,"Genryusai Yamamoto","BLEACH",ESPADA,"images/Genryusai_Yamamoto.png","images/Genryusai_Yamamoto.png",Existe
48,"Kisuke Urahara","BLEACH",ESPADA,"images/Kisuke_Urahara.png","images/Kisuke_Urahara.png",Existe
49,"Sunraku","SHANGRI-LA FRONTIER",ESPADA,"images/Sunraku.png","images/Sunraku.png",Existe
50,"Arthur Pencilgon","SHANGRI-LA FRONTIER",ESPADA,"images/Arthur_Pencilgon.png","images/Arthur_Pencilgon.png",Existe
51,"Tanjiro Kamado","KIMETSU NO YAIBA",ESPADA,"images/Tanjiro_Kamado.png","images/Tanjiro_Kamado.png",Existe
52,"Giyu Tomioka","KIMETSU NO YAIBA",ESPADA,"images/Giyu_Tomioka.png","images/Giyu_Tomioka.png",Existe
53,"Kyojuro Rengoku","KIMETSU NO YAIBA",ESPADA,"images/Kyojuro_Rengoku.png","images/Kyojuro_Rengoku.png",Existe
54,"Muichiro Tokito","KIMETSU NO YAIBA",ESPADA,"images/Muichiro_Tokito.png","images/Muichiro_Tokito.png",Existe
55,"Zenitsu Agatsuma","KIMETSU NO YAIBA",ESPADA,"images/Zenitsu_Agatsuma.png","images/Zenitsu_Agatsuma.png",Existe
56,"Yoriichi Tsugikuni","KIMETSU NO YAIBA",ESPADA,"images/Yoriichi_Tsugikuni.png","images/Yoriichi_Tsugikuni.png",Existe
57,"Sasuke Uchiha","NARUTO",ESPADA,"images/Sasuke_Uchiha.png","images/Sasuke_Uchiha.png",Existe
58,"Mifune","SOUL EATER",ESPADA,"images/Mifune.png","images/Mifune.png",Existe
59,"Asta","BLACK CLOVER",ESPADA,"images/Asta.png","images/Asta.png",Existe
60,"Erza Scarlet","FAIRY TAIL",ESPADA,"images/Erza_Scarlet.png","images/Erza_Scarlet.png",Existe
61,"Kirito","SAO",ESPADA,"images/Kirito.png","images/Kirito.png",Existe
62,"Asuna Yuuki","SAO",ESPADA,"images/Asuna_Yuuki.png","images/Asuna_Yuuki.png",Existe
63,"Guts","BERSERK",ESPADA,"images/Guts.png","images/Guts.png",Existe
64,"Griffith","BERSERK",ESPADA,"images/Griffith.png","images/Griffith.png",Existe
65,"Kenshin Himura","SAMURAI X",ESPADA,"images/Kenshin_Himura.png","images/Kenshin_Himura.png",Existe
66,"Hyakkimaru","DORORO",ESPADA,"images/Hyakkimaru.png","images/Hyakkimaru.png",Existe
67,"Levi Ackerman","ATTACK ON TITAN",ESPADA,"images/Levi_Ackerman.png","images/Levi_Ackerman.png",Existe
68,"Mikasa Ackerman","ATTACK ON TITAN",ESPADA,"images/Mikasa_Ackerman.png","images/Mikasa_Ackerman.png",Existe
69,"Vergil","DEVIL MAY CRY",ESPADA,"images/Vergil.png","images/Vergil.png",Existe
70,"Raiden","METAL GEAR RISING",ESPADA,"images/Raiden.png","images/Raiden.png",Existe
71,"2B","NIER: AUTOMATA",ESPADA,"images/2B.png","images/2B.png",Existe
72,"Saber","FATE",ESPADA,"images/Saber.png","images/Saber.png",Existe
73,"Mugen","SAMURAI CHAMPLOO",ESPADA,"images/Mugen.png","images/Mugen.png",Existe
74,"Jin","SOLO LEVELING",ESPADA,"images/Jin.png","images/Jin.png",Existe
75,"Hakumen","BLAZBLUE",ESPADA,"images/Hakumen.png","images/Hakumen.png",Existe
76,"Sesshomaru","INUYASHA",ESPADA,"images/Sesshomaru.png","images/Sesshomaru.png",Existe
77,"Inuyasha","INUYASHA",ESPADA,"images/Inuyasha.png","images/Inuyasha.png",Existe
78,"Ragna the Bloodedge","BLAZBLUE",ESPADA,"images/Ragna_the_Bloodedge.png","images/Ragna_the_Bloodedge.png",Existe
79,"Noctis Lucis Caelum","FINAL FANTASY XV",ESPADA,"images/Noctis_Lucis_Caelum.png","images/Noctis_Lucis_Caelum.png",Existe
80,"Dante","DEVIL MAY CRY",ESPADA,"images/Dante.png","images/Dante.png",Existe
81,"Rimuru Tempest","That Time I Got Reincarnated as a Slime",ESPADA,"images/Rimuru_Tempest.png","images/Rimuru_Tempest.png",Existe
82,"Inosuke Hashibira","Demon Slayer: Kimetsu no Yaiba",ESPADA,"images/Inosuke_Hashibira.png","images/Inosuke_Hashibira.png",Existe
83,"Escanor","The Seven Deadly Sins: Revival of the Commandments",ESPADA,"images/Escanor.png","images/Escanor.png",Existe
84,"Sho Kusakabe","Fire Force",ESPADA,"images/Shou Kusakabe.png","images/Sho_Kusakabe.png",Falta
85,"Yuta Okkotsu","JUJUTSU KAISEN",MAGIA,"images/Yuta_Okkotsu.png","images/Yuta_Okkotsu.png",Existe
86,"Satoru Gojo","JUJUTSU KAISEN",MAGIA,"images/Satoru_Gojo.png","images/Satoru_Gojo.png",Existe
87,"Megumi Fushiguro","JUJUTSU KAISEN",MAGIA,"images/Megumi_Fushiguro.png","images/Megumi_Fushiguro.png",Existe
88,"Ryomen Sukuna","Jujutsu Kaisen",MAGIA,"images/Ryomen_Sukuna.png","images/Ryomen_Sukuna.png",Existe
89,"Suguru Geto","JUJUTSU KAISEN",MAGIA,"images/Suguru_Geto.png","images/Suguru_Geto.png",Existe
90,"Mahito","JUJUTSU KAISEN",MAGIA,"images/Mahito.png","images/Mahito.png",Existe
91,"Choso","JUJUTSU KAISEN",MAGIA,"images/Choso.png","images/Choso.png",Existe
92,"Megumin","KONOSUBA -God's blessing on this wonderful world!",MAGIA,"images/Megumin.png","images/Megumin.png",Existe
93,"Frieren","Frieren: Beyond Journey's End",MAGIA,"images/Frieren.png","images/Frieren.png",Existe
94,"Fern","Frieren: Beyond Journey's End",MAGIA,"images/Fern.png","images/Fern.png",Existe
95,"Portgas D. Ace","ONE PIECE",MAGIA,"images/Portgas_D_Ace.png","images/Portgas_D_Ace.png",Existe
96,"Aokiji","ONE PIECE",MAGIA,"images/Aokiji.png","images/Aokiji.png",Existe
97,"Akainu","ONE PIECE",MAGIA,"images/Akainu.png","images/Akainu.png",Existe
98,"Kizaru","ONE PIECE",MAGIA,"images/Kizaru.png","images/Kizaru.png",Existe
99,"Boa Hancock","ONE PIECE",MAGIA,"images/Boa_Hancock.png","images/Boa_Hancock.png",Existe
100,"Eustass Kid","ONE PIECE",MAGIA,"images/Eustass_Kid.png","images/Eustass_Kid.png",Existe
101,"Blackbeard","ONE PIECE",MAGIA,"images/Blackbeard.png","images/Blackbeard.png",Existe
102,"Perona","One Piece",MAGIA,"images/Perona.png","images/Perona.png",Existe
103,"Charlotte Katakuri","ONE PIECE",MAGIA,"images/Charlotte_Katakuri.png","images/Charlotte_Katakuri.png",Existe
104,"Milim Nava","Tensei shitara Slime Datta Ken",MAGIA,"images/Milim_Nava.png","images/Milim_Nava.png",Existe
105,"Diablo","That Time I Got Reincarnated as a Slime",MAGIA,"images/Diablo.png","images/Diablo.png",Existe
106,"Lucy Heartfilia","Fairy Tail",MAGIA,"images/Lucy_Heartfilia.png","images/Lucy_Heartfilia.png",Existe
107,"Zeref","Fairy Tail",MAGIA,"images/Zeref.png","images/Zeref.png",Existe
108,"Noelle Silva","Black Clover",MAGIA,"images/Noelle_Silva.png","images/Noelle_Silva.png",Existe
109,"Tatsumaki","one punch man",MAGIA,"images/Tatsumaki.png","images/Tatsumaki.png",Existe
110,"Madoka Kaname","Mahou Shoujo Madoka★Magica",MAGIA,"images/Madoka_Kaname.png","images/Madoka_Kaname.png",Existe
111,"Homura Akemi","Mahou Shoujo Madoka★Magica",MAGIA,"images/Homura_Akemi.png","images/Homura_Akemi.png",Existe
112,"Mami Tomoe","Mahou Shoujo Madoka★Magica",MAGIA,"images/Mami_Tomoe.png","images/Mami_Tomoe.png",Existe
113,"Ainz Ooal Gown","Overlord",MAGIA,"images/Ainz_Ooal_Gown.png","images/Ainz_Ooal_Gown.png",Existe
114,"Emilia","Re zero",MAGIA,"images/Emilia.png","images/Emilia.png",Existe
115,"Beatrice","Re zero",MAGIA,"images/Beatrice.png","images/Beatrice.png",Existe
116,"Roxy Migurdia","Mushoku Tensei: Isekai Ittara Honki Dasu",MAGIA,"images/Roxy_Migurdia.png","images/Roxy_Migurdia.png",Existe
117,"Rudeus Greyrat","Mushoku Tensei: Isekai Ittara Honki Dasu",MAGIA,"images/Rudeus_Greyrat.png","images/Rudeus_Greyrat.png",Existe
118,"Anos Voldigoad","The Misfit of Demon King Academy",MAGIA,"images/Anos_Voldigoad.png","images/Anos_Voldigoad.png",Existe
119,"Howl","Howl's Moving Castle",MAGIA,"images/Howl.png","images/Howl.png",Existe
120,"Sailor Moon","Sailor Moon",MAGIA,"images/Sailor_Moon.png","images/Sailor_Moon.png",Existe
121,"Sailor Mars","Sailor Moon",MAGIA,"images/Sailor_Mars.png","images/Sailor_Mars.png",Existe
122,"Sailor Mercury","Sailor Moon",MAGIA,"images/Sailor_Mercury.png","images/Sailor_Mercury.png",Existe
123,"Gilgamesh","Fate/Zero",MAGIA,"images/Gilgamesh.png","images/Gilgamesh.png",Existe
